Exercise,Climbing,Sweets,EatingOut,Coffee,Tea,Water,DayRating,HoursSleep,Sunny,Rain,Temperature,Weight,WeekSin,WeekCos,Label
0.0,0,1,1,4,2,1.0,1,8.0,1,0,7,76.3,0.0,1.0,75.3
0.0,1,2,0,4,2,2.4,1,6.5,0,1,4,75.3,0.7818314824680298,0.6234898018587336,75.8
0.0,0,1,1,3,1,2.0,0,8.504166667,-1,1,7,75.8,0.9749279121818236,-0.22252093395631434,76.4
0.0,0,1,0,2,3,1.5,0,9.0,-1,1,11,76.4,0.43388373911755823,-0.900968867902419,75.8
0.0,0,3,0,3,2,1.0,0,10.0,-1,1,12,75.8,-0.433883739117558,-0.9009688679024191,76.0
0.0,0,1,1,3,1,1.7,1,8.0,1,0,11,76.0,-0.9749279121818236,-0.2225209339563146,76.4
0.0,1,1,0,3,1,2.4,-1,8.0,-1,0,7,76.4,-0.7818314824680299,0.6234898018587334,76.6
39.0,0,0,0,5,1,1.5,-1,6.25,-1,0,8,76.6,-2.4492935982947064e-16,1.0,75.6
0.0,1,0,2,6,1,2.0,1,6.5,1,0,12,75.6,0.7818314824680296,0.6234898018587337,75.6
39.0,0,0,0,5,1,1.2,0,6.0,1,0,9,75.6,0.9749279121818237,-0.2225209339563141,75.1
39.0,1,0,1,4,1,1.4,1,7.25,-1,0,5,75.1,0.43388373911755845,-0.9009688679024189,75.8
39.0,0,0,0,6,0,2.0,1,6.5,1,0,4,75.8,-0.4338837391175578,-0.9009688679024193,75.6
0.0,0,0,0,4,2,1.0,1,8.0,-1,0,4,75.6,-0.9749279121818235,-0.2225209339563148,76.1
0.0,1,0,0,2,3,1.3,0,8.083333332999999,-1,0,2,76.1,-0.7818314824680301,0.6234898018587332,75.9
43.0,0,0,0,3,1,1.5,0,7.5,1,0,6,75.9,-4.898587196589413e-16,1.0,75.1
45.0,0,0,0,3,2,1.4,0,7.0,-1,1,8,75.1,0.7818314824680295,0.6234898018587339,75.2
45.0,0,0,0,5,2,1.7,0,7.0,0,1,2,75.2,0.9749279121818237,-0.22252093395631387,75.4
45.0,0,0,0,5,1,1.3,0,7.0,0,1,8,75.4,0.4338837391175587,-0.9009688679024189,75.1
45.0,0,0,1,5,0,2.7,0,7.0,0,0,4,75.1,-0.43388373911755757,-0.9009688679024194,75.8
0.0,0,0,1,3,0,1.5,0,8.166666667000001,0,0,3,75.8,-0.9749279121818235,-0.22252093395631506,76.2
0.0,0,0,0,3,1,1.3,0,8.0,0,0,2,76.2,-0.7818314824680302,0.6234898018587329,76.0
45.0,0,0,0,4,1,1.3,0,6.5,-1,1,7,76.0,-7.347880794884119e-16,1.0,75.2
45.0,0,0,0,3,2,1.3,-1,7.0,-1,0,6,75.2,0.7818314824680294,0.6234898018587341,74.3
40.0,0,0,0,3,0,3.3,0,7.5,1,0,11,74.3,0.9749279121818238,-0.22252093395631362,74.8
35.0,0,0,0,6,1,1.3,0,5.5,1,0,14,74.8,0.4338837391175589,-0.9009688679024188,74.6
40.0,1,0,1,4,1,2.2,0,8.0,1,0,9,74.6,-0.43388373911755734,-0.9009688679024195,74.8
0.0,0,0,0,5,1,1.7,1,5.583333333,1,0,5,74.8,-0.9749279121818234,-0.22252093395631528,75.2
0.0,0,0,0,3,1,2.1,0,8.5,0,0,10,75.2,-0.7818314824680304,0.6234898018587328,75.1
45.0,0,0,0,4,2,1.4,-1,7.0,1,0,12,75.1,-9.797174393178826e-16,1.0,74.8
45.0,0,0,0,4,1,1.5,0,7.0,0,0,9,74.8,0.7818314824680291,0.6234898018587344,74.7
45.0,0,0,0,4,1,1.7,-1,7.5,1,1,11,74.7,0.9749279121818238,-0.2225209339563134,74.6
40.0,1,0,1,6,1,1.7,0,7.0,-1,1,4,74.6,0.4338837391175591,-0.9009688679024187,74.5
35.0,0,0,1,3,0,1.4,0,6.5,0,0,4,74.5,-0.4338837391175571,-0.9009688679024196,74.3
0.0,0,0,1,5,2,2.1,0,6.083333333,-1,0,3,74.3,-0.9749279121818234,-0.22252093395631553,75.0
0.0,0,0,0,3,5,1.1,0,9.5,-1,0,2,75.0,-0.7818314824680306,0.6234898018587326,74.8
0.0,0,0,0,1,6,1.0,0,9.5,0,0,3,74.8,-1.2246467991473533e-15,1.0,74.8
0.0,0,0,0,2,6,1.2,0,9.833333332999999,0,0,5,74.8,0.781831482468029,0.6234898018587345,75.2
0.0,0,0,0,2,6,1.2,1,8.25,-1,0,2,75.2,0.9749279121818238,-0.22252093395631314,75.2
0.0,0,0,0,5,3,1.0,0,6.666666667,-1,0,2,75.2,0.43388373911755934,-0.9009688679024186,74.0
0.0,1,0,0,4,1,1.8,0,6.5,-1,0,3,74.0,-0.4338837391175569,-0.9009688679024197,73.9
0.0,0,0,0,3,3,1.2,0,10.0,-1,0,3,73.9,-0.9749279121818233,-0.22252093395631578,73.8
0.0,0,0,1,3,3,1.3,1,9.0,-1,1,4,73.8,-0.7818314824680307,0.6234898018587324,75.3
45.0,0,0,1,5,1,1.5,0,6.5,0,0,2,75.3,-1.4695761589768238e-15,1.0,74.1
0.0,1,0,1,3,1,2.2,1,8.0,1,0,3,74.1,0.7818314824680289,0.6234898018587347,73.9
45.0,0,0,0,4,1,1.3,0,7.0,1,0,2,73.9,0.974927912181824,-0.2225209339563129,74.3
45.0,0,0,0,4,0,5.0,0,7.5,-1,1,3,74.3,0.43388373911755956,-0.9009688679024185,76.1
0.0,0,0,2,5,0,1.0,0,8.5,0,0,12,76.1,-0.4338837391175567,-0.9009688679024198,
0.0,0,0,3,4,0,0.7,0,8.0,1,0,18,,-0.9749279121818233,-0.222520933956316,
0.0,0,0,1,1,0,0.5,-1,4.0,1,0,16,,-0.7818314824680308,0.6234898018587323,
0.0,0,0,1,2,0,0.5,0,9.666666667000001,1,0,12,,-1.7145055188062944e-15,1.0,
0.0,0,0,3,2,0,1.2,-1,9.0,1,0,11,,0.7818314824680287,0.6234898018587349,
0.0,0,0,3,3,0,0.8,1,9.5,1,0,13,,0.974927912181824,-0.22252093395631267,
0.0,0,0,3,4,5,0.9,0,9.0,1,1,11,,0.4338837391175598,-0.9009688679024184,
0.0,0,0,3,3,1,1.0,0,8.0,1,0,12,,-0.43388373911755646,-0.9009688679024199,
