Date,Exercise,Climbing,Sweets,EatingOut,Coffee,Tea,Water,DayRating,HoursSleep,Sunny,Rain,Temperature,Weight
01.01.2018,0.0,0,1,1,4,2,1.0,1,8.0,1,0,7,76.3
02.01.2018,0.0,1,2,0,4,2,2.4,1,6.5,0,1,4,75.3
03.01.2018,0.0,0,1,1,3,1,2.0,0,8.504166667,-1,1,7,75.8
04.01.2018,0.0,0,1,0,2,3,1.5,0,9.0,-1,1,11,76.4
05.01.2018,0.0,0,3,0,3,2,1.0,0,10.0,-1,1,12,75.8
06.01.2018,0.0,0,1,1,3,1,1.7,1,8.0,1,0,11,76.0
07.01.2018,0.0,1,1,0,3,1,2.4,-1,8.0,-1,0,7,76.4
08.01.2018,39.0,0,0,0,5,1,1.5,-1,6.25,-1,0,8,76.6
09.01.2018,0.0,1,0,2,6,1,2.0,1,6.5,1,0,12,75.6
10.01.2018,39.0,0,0,0,5,1,1.2,0,6.0,1,0,9,75.6
11.01.2018,39.0,1,0,1,4,1,1.4,1,7.25,-1,0,5,75.1
12.01.2018,39.0,0,0,0,6,0,2.0,1,6.5,1,0,4,75.8
13.01.2018,0.0,0,0,0,4,2,1.0,1,8.0,-1,0,4,75.6
14.01.2018,0.0,1,0,0,2,3,1.3,0,8.083333332999999,-1,0,2,76.1
15.01.2018,43.0,0,0,0,3,1,1.5,0,7.5,1,0,6,75.9
16.01.2018,45.0,0,0,0,3,2,1.4,0,7.0,-1,1,8,75.1
17.01.2018,45.0,0,0,0,5,2,1.7,0,7.0,0,1,2,75.2
18.01.2018,45.0,0,0,0,5,1,1.3,0,7.0,0,1,8,75.4
19.01.2018,45.0,0,0,1,5,0,2.7,0,7.0,0,0,4,75.1
20.01.2018,0.0,0,0,1,3,0,1.5,0,8.166666667000001,0,0,3,75.8
21.01.2018,0.0,0,0,0,3,1,1.3,0,8.0,0,0,2,76.2
22.01.2018,45.0,0,0,0,4,1,1.3,0,6.5,-1,1,7,76.0
23.01.2018,45.0,0,0,0,3,2,1.3,-1,7.0,-1,0,6,75.2
24.01.2018,40.0,0,0,0,3,0,3.3,0,7.5,1,0,11,74.3
25.01.2018,35.0,0,0,0,6,1,1.3,0,5.5,1,0,14,74.8
26.01.2018,40.0,1,0,1,4,1,2.2,0,8.0,1,0,9,74.6
27.01.2018,0.0,0,0,0,5,1,1.7,1,5.583333333,1,0,5,74.8
28.01.2018,0.0,0,0,0,3,1,2.1,0,8.5,0,0,10,75.2
29.01.2018,45.0,0,0,0,4,2,1.4,-1,7.0,1,0,12,75.1
30.01.2018,45.0,0,0,0,4,1,1.5,0,7.0,0,0,9,74.8
